"Path"	"Type"	"Extent"	"OffsetHex"	"Size"
"ADV\CHAR\FRPGI03.CCS"	"file"	"8008"	"0xFA4000"	"29861"
"ADV\CHAR\FRPGI04.CCS"	"file"	"8023"	"0xFAB800"	"32529"
"ADV\CHAR\FRPGI05.CCS"	"file"	"8039"	"0xFB3800"	"32989"
"ADV\CHAR\FRPGI06.CCS"	"file"	"8056"	"0xFBC000"	"38711"
"ADV\CHAR\FRPGI07.CCS"	"file"	"8075"	"0xFC5800"	"38462"
"ADV\CHAR\FRPGI08.CCS"	"file"	"8094"	"0xFCF000"	"38446"
"ADV\CHAR\FRPGI09.CCS"	"file"	"8113"	"0xFD8800"	"38429"
"ADV\CHAR\FRPGI10.CCS"	"file"	"8132"	"0xFE2000"	"38712"
"ADV\CHAR\FRPGI11.CCS"	"file"	"8151"	"0xFEB800"	"38517"
"ADV\CHAR\FRPGI12.CCS"	"file"	"8170"	"0xFF5000"	"31882"
"ADV\CHAR\FRPGI13.CCS"	"file"	"8186"	"0xFFD000"	"31911"
"ADV\CHAR\FRPGI14.CCS"	"file"	"8202"	"0x1005000"	"31846"
"ADV\CHAR\FRPGI15.CCS"	"file"	"8218"	"0x100D000"	"34025"
"ADV\CHAR\FRPGI16.CCS"	"file"	"8235"	"0x1015800"	"40657"
"ADV\CHAR\FRPGI17.CCS"	"file"	"8255"	"0x101F800"	"30574"
"ADV\CHAR\FRPGI18.CCS"	"file"	"8270"	"0x1027000"	"40211"
"ADV\CHAR\FRPGI19.CCS"	"file"	"8290"	"0x1031000"	"30435"
"ADV\CHAR\FRPGI20.CCS"	"file"	"8305"	"0x1038800"	"40109"
"ADV\CHAR\FRPGI21.CCS"	"file"	"8325"	"0x1042800"	"40077"
"ADV\CHAR\FRPGI22.CCS"	"file"	"8345"	"0x104C800"	"39611"
"ADV\CHAR\FRPGI23.CCS"	"file"	"8365"	"0x1056800"	"39224"
"ADV\CHAR\FRPGI24.CCS"	"file"	"8385"	"0x1060800"	"27250"
"ADV\CHAR\FRPGI25.CCS"	"file"	"8399"	"0x1067800"	"26723"
"ADV\CHAR\FRPGI26.CCS"	"file"	"8413"	"0x106E800"	"26129"
"ADV\CHAR\FRPGI27.CCS"	"file"	"8426"	"0x1075000"	"42657"
"ADV\CHAR\FRPGI28.CCS"	"file"	"8447"	"0x107F800"	"43579"
"ADV\CHAR\FRPGI29.CCS"	"file"	"8469"	"0x108A800"	"39282"
"ADV\CHAR\FRPGI30.CCS"	"file"	"8489"	"0x1094800"	"48863"
"ADV\CHAR\FRPGI31.CCS"	"file"	"8513"	"0x10A0800"	"91835"
"ADV\CHAR\FRPGI32.CCS"	"file"	"8558"	"0x10B7000"	"33978"
"ADV\CHAR\FRPGI35.CCS"	"file"	"8575"	"0x10BF800"	"41340"
"ADV\CHAR\FRPGINW.CCS"	"file"	"8596"	"0x10CA000"	"62476"
"ADV\CHAR\FRPGIRK.CCS"	"file"	"8627"	"0x10D9800"	"56374"
"ADV\CHAR\FRPGJRW.CCS"	"file"	"8655"	"0x10E7800"	"73021"
"ADV\CHAR\FRPGKBW.CCS"	"file"	"8691"	"0x10F9800"	"48501"
"ADV\CHAR\FRPGKIW.CCS"	"file"	"8715"	"0x1105800"	"42327"
"ADV\CHAR\FRPGKKW.CCS"	"file"	"8736"	"0x1110000"	"63241"
"ADV\CHAR\FRPGKNB.CCS"	"file"	"8767"	"0x111F800"	"4660"
